IoUs for image 1: {1: 0.0, 2: 0.7582938388625592, 3: 0.783256880733945}
IoUs for image 2: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 3: {1: 0.15229964197190857, 2: 0.0, 3: 0.0}
IoUs for image 4: {1: 0.0, 2: 0.8233799237611181, 3: 0.8337423312883435}
IoUs for image 5: {1: 0.0, 2: 0.0, 3: nan}
IoUs for image 6: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 7: {1: 0.16637824474660073, 2: 0.0, 3: 0.0}
IoUs for image 8: {1: 0.0, 2: 0.1739807604214384, 3: 0.0}
IoUs for image 9: {1: 0.0, 2: 0.4559843885516045, 3: 0.0}
IoUs for image 10: {1: 0.0, 2: 0.0, 3: 0.6261549395877755}
IoUs for image 11: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 12: {1: 0.0, 2: 0.014719972127863426, 3: 0.0}
IoUs for image 13: {1: 0.011778563015312132, 2: 0.0, 3: 0.0}
IoUs for image 14: {1: 0.10214504596527069, 2: 0.0, 3: 0.0}
IoUs for image 15: {1: 0.0, 2: 0.7374457966149112, 3: 0.0}
IoUs for image 16: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 17: {1: 0.30570953436807097, 2: 0.0, 3: 0.0}
IoUs for image 18: {1: 0.0, 2: 0.0, 3: 0.46744674467446745}
IoUs for image 19: {1: 0.0, 2: 0.07508917954815696, 3: 0.0}
IoUs for image 20: {1: 0.0890357698289269, 2: 0.0, 3: 0.0}
IoUs for image 21: {1: 0.011944260119442602, 2: 0.0, 3: 0.0}
IoUs for image 22: {1: 0.0, 2: 0.0, 3: 0.7885777045579352}
IoUs for image 23: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 24: {1: nan, 2: 0.7146365422396856, 3: 0.936462507155123}
IoUs for image 25: {1: 0.4146138942706892, 2: 0.0, 3: 0.0}
IoUs for image 26: {1: 0.0, 2: 0.0, 3: 0.7617144932800581}
IoUs for image 27: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 28: {1: 0.18970315398886828, 2: 0.0, 3: 0.0}
IoUs for image 29: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 30: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 31: {1: nan, 2: 0.8287921046985626, 3: 0.0}
IoUs for image 32: {1: 0.0, 2: 0.7917373600271462, 3: 0.0}
IoUs for image 33: {1: 0.0, 2: 0.6409495548961425, 3: 0.6487603305785123}
IoUs for image 34: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 35: {1: nan, 2: 0.7295414033381947, 3: 0.8616197183098592}
IoUs for image 36: {1: 0.0013838915029061722, 2: 0.0, 3: 0.0}
IoUs for image 37: {1: 0.0487225193107546, 2: 0.0, 3: 0.0}
IoUs for image 38: {1: 0.20818815331010454, 2: 0.0, 3: 0.691468890314304}
IoUs for image 39: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 40: {1: 0.0, 2: 0.0857899169774997, 3: 0.0}
IoUs for image 41: {1: 0.0, 2: 0.23254437869822486, 3: 0.0}
IoUs for image 42: {1: 0.0, 2: 0.873159911272434, 3: 0.0}
IoUs for image 43: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 44: {1: 0.18246027074749852, 2: 0.0, 3: 0.0}
IoUs for image 45: {1: 0.17590069633666364, 2: 0.0, 3: 0.0}
IoUs for image 46: {1: 0.0, 2: 0.48151442708622894, 3: 0.0}
IoUs for image 47: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 48: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 49: {1: 0.0, 2: 0.0, 3: 0.6764654418197725}
IoUs for image 50: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 51: {1: 0.0, 2: 0.8295107033639144, 3: 0.7982832618025751}
IoUs for image 52: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 53: {1: 0.23300970873786409, 2: 0.0, 3: 0.8487943262411347}
IoUs for image 54: {1: 0.0, 2: 0.0553198523334619, 3: 0.0}
IoUs for image 55: {1: 0.0, 2: 0.0, 3: 0.641848976711362}
IoUs for image 56: {1: 0.0011086474501108647, 2: 0.0, 3: 0.628859278518037}
IoUs for image 57: {1: 0.0, 2: 0.0, 3: 0.6128611065774441}
IoUs for image 58: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 59: {1: 0.0, 2: 0.7551622418879056, 3: 0.8615123194562447}
IoUs for image 60: {1: 0.0, 2: 0.7136058230683091, 3: 0.7014925373134329}
IoUs for image 61: {1: 0.0, 2: 0.11642234969194816, 3: 0.0}
IoUs for image 62: {1: 0.0, 2: 0.0, 3: 0.6934923000496771}
IoUs for image 63: {1: 0.004801920768307323, 2: 0.0, 3: 0.0}
